Delta,Theta,Alpha,Beta,Y
1.9733E+04,6.188E+03,5.721E+03,1.4817E+04,0E+00
4.82666E+05,3.88508E+05,7.4938E+04,2.1086E+04,0E+00
2.34018E+05,2.0182E+04,1.9006E+04,1.318E+04,0E+00
9.54404E+05,2.79859E+05,3.0468E+04,6.0851E+04,0E+00
2.8183E+04,3.3005E+04,2.0626E+04,1.0402E+04,0E+00
3.47956E+05,2.9095E+04,1.2957E+04,1.4887E+04,0E+00
7.15E+04,1.6591E+04,7.134E+03,1.746E+03,0E+00
1.5578E+04,1.432E+04,1.3869E+04,1.1845E+04,0E+00
1.2429E+04,1.284E+04,2.999E+03,1.5081E+04,0E+00
7.32468E+05,4.573E+04,6.527E+03,4.4656E+04,0E+00
5.646E+03,6.105E+03,1.3498E+04,8.382E+03,0E+00
1.0079E+05,7.0641E+04,1.3659E+04,2.6407E+04,0E+00
2.4353E+04,2.9601E+04,9.969E+03,2.256E+03,0E+00
2.16014E+05,2.7948E+04,1.3484E+04,2.35E+03,0E+00
5.4286E+04,8.858E+04,2.3896E+04,2.4028E+04,0E+00
3.39296E+05,8.0875E+04,5.233E+03,1.3868E+04,0E+00
9.02E+02,2.8374E+04,5.021E+03,8.429E+03,0E+00
1.05078E+05,5.1084E+04,6.911E+03,2.7163E+04,0E+00
1.5419E+04,2.4389E+04,1.1191E+04,1.2682E+04,0E+00
3.80064E+05,2.10266E+05,3.0812E+04,1.0248E+04,0E+00
1.0407E+04,3.4055E+04,1.1196E+04,1.3348E+04,0E+00
7.15E+03,5.972E+03,3.011E+04,1.0763E+04,0E+00
7.2846E+04,1.06183E+05,2.4001E+04,1.9452E+04,0E+00
1.634E+04,1.597E+04,4.801E+03,1.6174E+04,0E+00
7.8984E+04,1.32502E+05,2.7332E+04,2.0169E+04,0E+00
1.068446E+06,1.75912E+05,3.0923E+04,7.9618E+04,0E+00
1.041929E+06,2.66662E+05,3.4981E+05,4.8348E+04,0E+00
8.845E+05,1.44168E+05,2.5016E+04,1.9468E+04,0E+00
4.18424E+05,1.57983E+05,6.644E+03,1.0947E+04,0E+00
1.9087E+04,2.5019E+04,9.439E+03,6.249E+03,0E+00
7.7141E+04,1.55932E+05,7.429E+03,9.003E+03,0E+00
3.4337E+04,2.2723E+04,5.7302E+04,2.4872E+04,0E+00
2.596132E+06,1.01684E+05,4.1964E+04,7.0427E+04,0E+00
1.58422E+05,5.6281E+04,1.385E+04,1.2531E+04,0E+00
2.88906E+05,1.0947E+04,1.5022E+04,1.2048E+04,0E+00
2.54859E+05,1.2086E+04,2.1586E+04,9.849E+03,0E+00
1.07538E+05,7.1264E+04,1.7066E+04,6.42E+03,0E+00
1.6924E+05,5.635E+04,4.767E+03,1.3673E+04,0E+00
4.83955E+05,1.10982E+05,2.2927E+04,4.199E+03,0E+00
5.061E+03,1.437E+04,9.58E+02,1.0622E+04,0E+00
4.6567E+04,7.6441E+04,1.3276E+04,1.051E+04,0E+00
1.75339E+05,5.9098E+04,4.615E+03,1.1434E+04,0E+00
1.8458E+04,2.1176E+04,8.996E+03,3.2261E+04,0E+00
1.72808E+05,3.3425E+04,2.2876E+04,9.099E+03,0E+00
9.6407E+04,9.334E+04,1.8164E+04,1.005E+04,0E+00
5.089E+03,3.0204E+04,1.2247E+04,2.7603E+04,0E+00
4.078E+03,6.806E+03,5.955E+03,3.6902E+04,0E+00
3.80318E+05,2.35081E+05,7.1868E+04,3.3113E+04,0E+00
7.49E+03,6.998E+03,8.644E+03,1.7534E+04,0E+00
2.09578E+05,1.25973E+05,4.0987E+04,3.846E+04,0E+00
6.9104E+04,4.6183E+04,3.424E+04,5.354E+03,0E+00
3.1933E+04,3.4344E+04,4.859E+03,7.311E+03,0E+00
3.9129E+04,3.2916E+04,2.1349E+04,1.4009E+04,0E+00
1.59407E+05,3.2442E+04,2.761E+03,6.611E+03,0E+00
9.428E+03,2.682E+03,5.627E+03,2.3998E+04,0E+00
1.31265E+05,2.2111E+04,4.348E+03,4.628E+03,0E+00
5.5459E+04,4.4264E+04,3.275E+03,2.0272E+04,0E+00
7.063E+03,2.7784E+04,3.355E+03,1.4426E+04,0E+00
9.6787E+04,4.0561E+04,6.3E+03,1.0714E+04,0E+00
2.15408E+05,2.9551E+05,7.8066E+04,2.5512E+04,0E+00
1.19223E+06,3.5316E+04,1.0273E+04,1.3679E+04,0E+00
1.29534E+05,9.699E+03,2.839E+03,3.463E+03,0E+00
2.56404E+05,6.9077E+04,2.8446E+04,1.2968E+04,0E+00
4.9197E+04,2.4033E+04,1.5206E+04,2.8897E+04,0E+00
1.8328E+05,6.5241E+04,2.3071E+04,4.1861E+04,0E+00
1.8626E+04,4.1264E+04,1.6132E+04,3.6595E+04,0E+00
1.56763E+05,3.1948E+04,1.0176E+04,2.508E+03,0E+00
9.957E+04,1.37662E+05,4.506E+03,8.991E+03,0E+00
6.16573E+05,2.3773E+04,6.46E+02,7.574E+03,0E+00
1.00742E+05,2.443E+04,1.8196E+04,8.1774E+04,0E+00
8.49379E+05,1.0701E+04,6.268E+03,9.74E+03,0E+00
2.03411E+05,7.4686E+04,1.4145E+04,9.773E+03,0E+00
4.03878E+05,3.53087E+05,7.7758E+04,4.339E+04,0E+00
6.65457E+05,3.83607E+05,1.6022E+04,3.3454E+04,0E+00
2.02276E+05,7.2951E+04,4.4985E+04,3.264E+03,0E+00
1.75546E+05,8.178E+04,3.926E+03,5.538E+03,0E+00
7.77407E+05,1.10867E+05,1.795E+03,1.8255E+04,0E+00
1.97346E+05,7.9428E+04,1.09514E+05,2.064E+04,0E+00
2.9055E+04,6.145E+03,2.364E+03,1.6053E+04,0E+00
6.07523E+05,2.04237E+05,9.3726E+04,2.2189E+04,0E+00
6.134E+03,8.631E+03,1.8423E+04,1.4156E+04,0E+00
2.0053E+04,5.765E+03,4.754E+03,5.95E+03,0E+00
3.17732E+05,3.0418E+04,1.1214E+04,2.2217E+04,0E+00
6.5315E+04,5.7495E+04,1.1452E+04,3.8054E+04,0E+00
2.57955E+05,2.9943E+04,1.8517E+04,2.476E+03,0E+00
4.22176E+05,2.7487E+04,1.6481E+04,4.57E+03,0E+00
2.01065E+05,5.1323E+04,6.442E+03,8.843E+03,0E+00
2.24481E+05,7.4666E+04,3.08E+03,1.0394E+04,0E+00
3.9046E+04,1.9732E+04,1.088E+03,7.925E+03,0E+00
3.44333E+05,2.36228E+05,1.02416E+05,2.0964E+04,0E+00
2.12834E+05,1.11595E+05,9.572E+03,1.3212E+04,0E+00
7.5121E+04,2.041E+04,2.971E+03,3.948E+03,0E+00
1.69839E+05,5.07402E+05,2.5834E+04,1.7736E+04,0E+00
1.12678E+05,1.29772E+05,7.0156E+04,1.8463E+04,0E+00
9.8746E+04,5.0174E+04,8.297E+03,1.4787E+04,0E+00
1.476062E+06,9.6824E+04,4.6806E+04,2.3175E+04,0E+00
5.2682E+04,4.2601E+04,4.875E+03,2.0394E+04,0E+00
2.21087E+05,2.03882E+05,1.5027E+04,2.495E+04,0E+00
1.759494E+06,6.7233E+04,1.809E+04,4.0267E+04,0E+00
5.41236E+05,1.79647E+05,2.3412E+04,1.03233E+05,0E+00
6.905E+04,1.75024E+05,8.0578E+04,1.3987E+04,0E+00
6.40575E+05,1.02621E+05,4.5451E+04,2.9691E+04,0E+00
1.49506E+05,5.5156E+04,5.673E+03,2.051E+04,0E+00
1.5538E+05,6.5654E+04,7.089E+03,1.9313E+04,0E+00
1.0906E+04,9.283E+03,1.2158E+04,1.0965E+04,0E+00
1.0984E+04,2.6586E+04,1.921E+03,5.684E+03,0E+00
8.4578E+04,3.0519E+04,8.571E+03,5.973E+03,0E+00
3.9631E+04,9.56E+03,8.333E+03,8.402E+03,0E+00
3.28252E+05,1.96386E+05,1.9979E+04,2.0104E+04,0E+00
1.40012E+05,4.5414E+04,6.63E+03,6.194E+03,0E+00
8.229E+03,2.6846E+04,6.424E+03,8.711E+03,0E+00
7.382E+03,1.6596E+04,5.234E+03,2.1226E+04,0E+00
1.36203E+05,4.8418E+04,3.1101E+04,1.433E+04,0E+00
2.9513E+04,3.6037E+04,1.74E+04,6.48E+03,0E+00
1.61564E+05,2.19855E+05,3.152E+03,1.655E+04,0E+00
1.55656E+05,4.1946E+04,1.1601E+04,2.5236E+04,0E+00
2.50459E+05,6.4336E+04,1.2209E+04,1.0669E+04,0E+00
5.40041E+05,1.72153E+05,2.0056E+04,3.4422E+04,0E+00
2.5338E+04,1.5395E+04,4.083E+03,2.0175E+04,0E+00
8.455E+04,6.8821E+04,8.617E+03,2.3254E+04,0E+00
2.7132E+04,1.357E+04,4.347E+03,1.6776E+04,0E+00
9.6763E+04,4.2567E+04,1.0608E+04,1.0739E+04,0E+00
1.6353E+04,5.22E+04,9.263E+03,3.547E+03,0E+00
1.9395E+04,5.584E+03,2.667E+03,1.581E+04,0E+00
1.62357E+05,4.4881E+04,2.0252E+04,1.6129E+04,0E+00
2.22165E+05,1.11376E+05,1.2666E+04,4.6354E+04,0E+00
4.9798E+05,9.7277E+04,3.4122E+04,1.2739E+04,0E+00
1.25306E+05,3.444E+04,2.4162E+04,4.4282E+04,0E+00
8.727E+03,5.9648E+04,1.3736E+04,1.0629E+04,0E+00
3.3118E+04,2.7881E+04,1.696E+03,8.511E+03,0E+00
2.73528E+05,2.08249E+05,9.453E+03,4.3221E+04,0E+00
6.12541E+05,7.8617E+04,2.5778E+04,2.3756E+04,0E+00
1.13497E+05,1.44422E+05,7.7654E+04,3.3492E+04,0E+00
8.8063E+04,5.7336E+04,4.184E+03,1.48E+04,0E+00
3.0882E+04,4.5785E+04,1.1763E+04,1.9334E+04,0E+00
2.0147E+04,1.7358E+04,4.14E+03,6.714E+03,0E+00
1.059448E+06,2.49948E+05,1.8325E+04,2.6719E+04,1E+00
1.488286E+06,1.68284E+05,1.7527E+04,8.152E+03,1E+00
2.17499E+05,1.39523E+05,1.9316E+04,2.242E+04,1E+00
1.608062E+06,1.72682E+05,7.5172E+04,3.1297E+04,1E+00
7.461E+03,6.171E+03,1.669E+03,1.1827E+04,1E+00
2.72737E+05,2.29627E+05,8.9721E+04,1.1363E+04,1E+00
3.5766E+04,1.5756E+04,6.363E+03,5.042E+03,1E+00
3.8841E+04,2.2798E+04,6.284E+03,8.604E+03,1E+00
3.75495E+05,1.56172E+05,1.0748E+04,1.7871E+04,1E+00
9.19696E+05,7.1037E+04,2.2445E+04,2.7445E+04,1E+00
1.6021E+04,1.813E+04,5.404E+03,9.035E+03,1E+00
1.18399E+05,1.79189E+05,5.9236E+04,2.5484E+04,1E+00
2.18961E+05,1.9311E+04,2.8518E+04,6.543E+03,1E+00
1.23047E+05,5.6652E+04,2.0498E+04,7.622E+03,1E+00
1.727727E+06,4.06539E+05,1.29328E+05,5.8684E+04,1E+00
1.757261E+06,1.41818E+05,5.5386E+04,2.9006E+04,1E+00
3.34896E+05,7.4884E+04,9.69E+03,1.2415E+04,1E+00
7.742E+03,6.786E+03,1.2068E+04,4.994E+03,1E+00
7.83725E+05,2.71039E+05,2.6149E+04,2.6556E+04,1E+00
1.38048E+06,1.11922E+05,7.0703E+04,5.6292E+04,1E+00
4.99368E+05,8.9696E+04,3.4307E+04,7.999E+03,1E+00
3.42695E+05,6.5025E+04,1.5153E+04,4.15E+03,1E+00
3.98782E+05,1.21676E+05,6.4539E+04,1.6761E+04,1E+00
2.98208E+05,6.4839E+04,1.7585E+04,7.089E+03,1E+00
5.70013E+05,1.14221E+05,1.5169E+04,7.559E+03,1E+00
3.98617E+05,4.2956E+04,8.121E+03,2.8185E+04,1E+00
6.6716E+04,4.0591E+04,1.2176E+04,1.6115E+04,1E+00
1.89797E+05,2.07791E+05,1.0523E+04,1.1713E+04,1E+00
4.61159E+05,2.41158E+05,5.052E+03,1.1665E+04,1E+00
1.11165E+05,1.70206E+05,7.4761E+04,5.334E+03,1E+00
4.69115E+05,1.85567E+05,1.45427E+05,4.0786E+04,1E+00
1.66044E+05,9.2139E+04,5.6583E+04,2.5115E+04,1E+00
1.44275E+05,2.0411E+04,8.911E+03,7.264E+03,1E+00
3.92528E+05,5.983E+04,1.8049E+04,1.1738E+04,1E+00
6.82066E+05,7.1885E+04,4.616E+04,3.021E+04,1E+00
4.4859E+04,1.416E+04,1.882E+03,2.853E+03,1E+00
3.90884E+05,2.35445E+05,1.879E+04,1.0884E+04,1E+00
8.65663E+05,1.51712E+05,8.963E+03,6.511E+03,1E+00
7.41232E+05,4.2518E+04,1.0024E+04,1.4645E+04,1E+00
3.73096E+05,2.51538E+05,1.6512E+04,5.467E+03,1E+00
6.9696E+04,1.8638E+04,6.298E+03,1.4719E+04,1E+00
1.94674E+05,2.6768E+04,4.1971E+04,3.6232E+04,1E+00
1.183791E+06,1.23587E+05,2.407E+04,2.563E+04,1E+00
7.59365E+05,1.44092E+05,2.8779E+04,7.0338E+04,1E+00
1.83226E+05,4.8556E+04,1.5817E+04,1.3739E+04,1E+00
1.08298E+05,1.26769E+05,9.336E+04,1.3364E+04,1E+00
2.048E+04,6.206E+03,1.2519E+04,2.2062E+04,1E+00
9.7141E+04,6.756E+03,9.36E+02,2.645E+03,1E+00
2.315E+05,4.3328E+04,1.3482E+04,1.0868E+04,1E+00
1.683681E+06,1.421442E+06,1.06649E+05,8.7463E+04,1E+00
2.2712E+04,1.64996E+05,4.3897E+04,5.0514E+04,1E+00
2.810688E+06,4.79648E+05,4.8953E+04,3.4177E+04,1E+00
1.78261E+05,1.68589E+05,1.6628E+04,1.9349E+04,1E+00
2.21551E+05,3.3637E+04,1.4234E+04,4.975E+03,1E+00
1.51558E+05,4.6268E+04,2.896E+03,5.716E+03,1E+00
1.8151E+04,2.60624E+05,5.9754E+04,1.9097E+04,1E+00
1.951755E+06,3.65679E+05,2.2304E+04,3.7729E+04,1E+00
1.271388E+06,4.17032E+05,1.0141E+04,3.1218E+04,1E+00
4.70069E+05,3.21531E+05,9.2086E+04,2.2127E+04,1E+00
1.149507E+06,6.09238E+05,1.26065E+05,2.6278E+04,1E+00
9.16344E+05,1.0397E+05,3.3289E+04,1.8418E+04,1E+00
1.38052E+05,5.8256E+04,2.3589E+04,3.945E+03,1E+00
1.27343E+05,4.5846E+04,8.712E+03,5.262E+03,1E+00
5.4147E+04,1.12057E+05,1.3584E+04,2.6785E+04,1E+00
1.029055E+06,1.97912E+05,5.769E+03,2.9322E+04,1E+00
5.26977E+05,6.9083E+04,1.709E+04,2.4451E+04,1E+00
1.34428E+05,4.9313E+04,2.521E+03,7.198E+03,1E+00
2.27964E+05,1.86145E+05,1.5379E+04,1.7719E+04,1E+00
4.50773E+05,2.18223E+05,7.564E+03,9.719E+03,1E+00
4.9887E+04,2.1179E+04,2.0798E+04,1.788E+04,1E+00
2.41636E+05,3.12943E+05,3.8131E+04,2.5546E+04,1E+00
1.13401E+05,2.1317E+04,6.335E+03,5.439E+03,1E+00
1.30525E+05,5.2344E+04,1.597E+04,1.3104E+04,1E+00
2.96474E+05,2.07502E+05,1.83762E+05,4.1078E+04,1E+00
3.86028E+05,3.5427E+04,2.9966E+04,1.4816E+04,1E+00
6.28336E+05,2.78961E+05,1.4053E+04,3.4708E+04,1E+00
1.409567E+06,5.28843E+05,1.20763E+05,3.2574E+04,1E+00
1.778703E+06,3.0463E+04,1.5988E+04,3.61E+03,1E+00
5.77772E+05,4.93548E+05,8.9835E+04,2.0348E+04,1E+00
6.03264E+05,1.86088E+05,1.5201E+04,5.1784E+04,1E+00
1.61434E+06,1.86523E+05,1.36515E+05,8.9974E+04,1E+00
7.68018E+05,4.6415E+04,2.6047E+04,1.1171E+04,1E+00
2.3555E+05,2.29941E+05,9.0271E+04,1.5173E+04,1E+00
1.110441E+06,1.76376E+05,2.4802E+04,1.3734E+04,1E+00
2.16457E+05,7.7985E+04,1.562E+04,1.2594E+04,1E+00
1.65908E+05,1.28843E+05,5.8255E+04,1.7274E+04,1E+00
3.60271E+05,3.5268E+04,9.912E+03,1.6899E+04,1E+00
3.5044E+04,2.4443E+04,5.504E+03,2.7651E+04,1E+00
2.30953E+05,4.2785E+04,6.315E+03,2.458E+03,1E+00
2.56321E+05,1.30331E+05,3.4822E+04,1.6492E+04,1E+00
6.49812E+05,3.38432E+05,2.39942E+05,4.1893E+04,1E+00
1.384122E+06,9.0207E+04,6.2453E+04,8.8897E+04,1E+00
8.5456E+04,7.2452E+04,1.1132E+04,1.4161E+04,1E+00
2.66413E+05,8.9613E+04,2.7568E+04,9.606E+03,1E+00
3.02754E+05,1.27289E+05,2.8442E+04,8.422E+03,1E+00
7.76171E+05,3.73237E+05,6.8675E+04,7.2253E+04,1E+00
3.51295E+05,2.25231E+05,2.4711E+04,1.0138E+04,1E+00
1.313464E+06,3.93203E+05,3.4785E+04,3.1378E+04,1E+00
5.7419E+04,3.2722E+04,9.655E+03,3.851E+03,1E+00
2.15198E+05,1.3247E+05,4.512E+04,1.0557E+04,1E+00
1.28334E+05,5.2003E+04,1.7654E+04,6.052E+03,1E+00
1.03814E+05,4.282E+04,3.7601E+04,2.9516E+04,1E+00
3.71141E+05,2.7312E+04,7.589E+03,7.617E+03,1E+00
9.20866E+05,3.95746E+05,1.78877E+05,6.9159E+04,1E+00
7.45143E+05,3.5249E+04,2.1114E+04,1.0362E+04,1E+00
6.866E+04,4.5311E+04,2.4026E+04,1.5925E+04,1E+00
2.37603E+05,3.9E+04,7.677E+03,3.217E+03,1E+00
6.357E+03,2.8325E+04,1.4264E+04,4.611E+03,1E+00
9.3555E+04,1.66304E+05,2.2499E+04,9.347E+03,1E+00
4.8903E+04,2.3743E+04,1.5845E+04,4.354E+03,1E+00
2.95818E+05,3.08262E+05,3.0661E+04,1.6998E+04,1E+00
2.23126E+05,1.16773E+05,2.0547E+04,2.7519E+04,1E+00
1.78847E+05,1.02734E+05,8.0687E+04,7.696E+03,1E+00
5.67049E+05,1.90184E+05,4.291E+03,2.0788E+04,1E+00
1.80482E+05,1.7286E+04,1.0824E+04,6.053E+03,1E+00
2.25985E+05,5.7503E+04,5.681E+04,1.6557E+04,1E+00
6.35509E+05,4.1494E+04,4.521E+03,9.546E+03,1E+00
8.7002E+04,1.7115E+04,3.053E+03,2.708E+03,1E+00
7.66219E+05,5.1344E+04,1.791E+03,3.843E+03,1E+00
1.55814E+05,3.0089E+04,2.1955E+04,4.159E+03,1E+00
4.3705E+04,9.356E+03,1.385E+04,9.626E+03,1E+00
9.638E+04,1.456E+04,4.99E+02,1.1121E+04,1E+00
2.024061E+06,3.04325E+05,9.998E+04,5.3766E+04,1E+00
7.0048E+05,7.6297E+04,5.5637E+04,3.03E+04,1E+00
5.38632E+05,5.7073E+05,5.217E+03,3.7162E+04,1E+00
1.152084E+06,4.02602E+05,2.7567E+04,3.9795E+04,1E+00
3.6665E+04,1.1762E+04,1.3486E+04,8.5164E+04,1E+00
2.75809E+05,1.0901E+05,1.8863E+04,2.9138E+04,1E+00
3.24559E+05,3.006E+04,1.287E+04,5.527E+03,1E+00
7.8067E+04,1.4548E+04,6.173E+03,7.57E+03,1E+00
4.3064E+05,2.2108E+04,2.182E+04,8.298E+03,1E+00
6.04964E+05,2.92863E+05,3.5111E+04,4.8169E+04,1E+00
2.60929E+05,3.6611E+04,2.1107E+04,5.162E+03,1E+00
1.56004E+05,7.747E+04,4.381E+03,1.1053E+04,1E+00
4.1014E+04,5.5258E+04,2.9234E+04,1.733E+04,1E+00
9.2431E+05,6.1604E+04,2.4839E+04,1.2899E+04,1E+00
3.8644E+05,2.36277E+05,3.8047E+04,1.2956E+04,1E+00
8.5966E+04,7.4359E+04,3.1293E+04,7.63E+03,1E+00
2.82707E+05,1.25852E+05,1.0584E+04,7.944E+03,1E+00
1.3492E+04,1.059E+04,9.406E+03,1.0789E+04,1E+00
3.42064E+05,1.7249E+05,1.0492E+04,9.644E+03,1E+00
3.7628E+04,4.2657E+04,2.6248E+04,1.2344E+04,1E+00
2.075558E+06,9.46864E+05,1.8503E+05,7.2597E+04,1E+00
1.524227E+06,2.76273E+05,3.7491E+04,1.239E+04,1E+00
2.175172E+06,8.7107E+04,1.095E+04,2.3689E+04,1E+00
1.273941E+06,1.14325E+05,5.9389E+04,1.4606E+04,1E+00
1.611461E+06,5.83656E+05,1.46286E+05,5.9271E+04,1E+00
1.135008E+06,1.83269E+05,2.6472E+04,1.561E+04,1E+00
5.72664E+05,2.9365E+04,8.54E+03,3.3E+03,1E+00
2.78771E+05,3.013E+04,4.964E+03,7.64E+03,1E+00
1.982072E+06,3.66793E+05,2.0608E+04,2.6672E+04,1E+00
4.46959E+05,5.8335E+04,1.1128E+04,2.616E+03,1E+00
7.55382E+05,3.12215E+05,6.9315E+04,1.5544E+04,1E+00
1.2702E+05,2.6912E+04,5.836E+03,1.687E+03,1E+00
1.357329E+06,7.6856E+05,1.56886E+05,6.2905E+04,1E+00
2.054923E+06,4.25015E+05,1.36995E+05,4.8002E+04,1E+00
8.34012E+05,6.6751E+04,2.933E+04,5.364E+03,1E+00
1.565593E+06,4.13404E+05,2.00322E+05,4.7198E+04,1E+00
1.104253E+06,3.4803E+04,1.8596E+04,1.4976E+04,1E+00
1.749649E+06,5.4501E+04,1.6397E+04,7.887E+03,1E+00
1.21597E+05,8.8666E+04,3.3123E+04,3.892E+03,1E+00
6.8791E+05,2.84342E+05,3.5787E+04,8.6648E+04,1E+00
1.637688E+06,3.91041E+05,1.9713E+04,3.2006E+04,1E+00
5.43047E+05,1.24366E+05,1.8242E+04,1.7211E+04,1E+00
2.0584E+04,8.771E+03,2.347E+03,1.3657E+04,1E+00
2.75527E+05,3.5356E+04,2.4005E+04,5.242E+03,1E+00
2.35427E+05,1.02954E+05,3.198E+03,1.7109E+04,1E+00
1.076391E+06,2.53462E+05,8.2729E+04,4.0054E+04,1E+00
1.6653E+04,3.15E+04,8.302E+03,7.72E+03,1E+00
5.43643E+05,3.22672E+05,1.1793E+04,4.1082E+04,1E+00
3.0429E+05,9.5699E+04,1.02457E+05,2.4343E+04,1E+00
3.74516E+05,5.8838E+04,1.9422E+04,1.61E+04,1E+00
9.19013E+05,3.9854E+04,2.6344E+04,1.2843E+04,1E+00
1.373173E+06,6.615E+04,8.4831E+04,6.278E+03,1E+00
2.69536E+05,4.5991E+05,3.3272E+04,2.3603E+04,1E+00
1.033729E+06,2.00609E+05,1.5607E+04,9.4E+03,1E+00
1.005581E+06,1.07283E+05,2.42956E+05,5.4445E+04,1E+00
1.06194E+05,2.1056E+04,2.1139E+04,3.024E+03,1E+00
1.084972E+06,8.15183E+05,3.56733E+05,1.99632E+05,1E+00
3.01044E+05,1.9687E+04,9.867E+03,1.738E+03,1E+00
1.226449E+06,2.90606E+05,5.955E+03,1.6041E+04,1E+00
1.593107E+06,4.22884E+05,5.9568E+04,6.4612E+04,1E+00
9.23513E+05,3.64244E+05,3.1581E+04,3.305E+03,1E+00
2.078564E+06,3.03487E+05,1.0586E+04,1.438E+04,1E+00
6.31594E+05,2.42731E+05,1.19186E+05,2.9342E+04,1E+00
4.14833E+05,3.7837E+05,2.285E+04,1.1892E+04,1E+00
5.31108E+05,4.0668E+04,3.7594E+04,1.0011E+04,1E+00
7.93907E+05,3.50254E+05,3.1974E+04,4.3193E+04,1E+00
3.47808E+05,4.619E+04,5.469E+03,2.186E+03,1E+00
1.78354E+05,1.20819E+05,3.555E+03,7.639E+03,1E+00
7.94419E+05,3.6522E+05,1.25049E+05,3.4141E+04,1E+00
9.51653E+05,2.9262E+04,1.0138E+04,3.41E+03,1E+00
1.277638E+06,3.02244E+05,4.4612E+04,2.7695E+04,1E+00
1.13555E+05,1.36984E+05,1.4709E+04,1.7284E+04,1E+00
2.03279E+05,1.6702E+04,1.203E+03,1.663E+03,1E+00
8.10616E+05,7.5297E+04,6.4803E+04,2.7275E+04,1E+00
1.0811E+06,4.5261E+04,7.06E+03,3.483E+03,1E+00
5.3359E+05,9.5078E+04,7.654E+03,6.825E+03,1E+00
6.58032E+05,1.90768E+05,1.8843E+04,1.5273E+04,1E+00
1.36521E+05,1.50766E+05,3.1046E+04,1.6105E+04,1E+00
8.35092E+05,1.99973E+05,2.8711E+04,2.7884E+04,1E+00
2.66271E+05,1.8097E+05,1.1501E+04,4.912E+03,1E+00
4.34847E+05,3.16543E+05,4.8194E+04,9.099E+03,1E+00
4.1479E+04,3.5845E+04,1.988E+03,1.5301E+04,1E+00
1.411312E+06,4.57596E+05,6.1726E+04,1.2953E+04,1E+00
3.41699E+05,2.30712E+05,2.9526E+04,2.4354E+04,1E+00
1.66492E+05,3.0924E+04,1.2665E+04,1.1259E+04,1E+00
1.0918E+04,3.0297E+04,8.682E+03,1.6292E+04,1E+00
2.42714E+05,6.4559E+04,1.5961E+04,3.166E+03,1E+00
2.44909E+05,2.3464E+04,5.469E+03,2.597E+03,1E+00
1.130101E+06,1.52932E+05,6.0261E+04,6.879E+03,1E+00
8.13603E+05,1.24888E+05,5.5907E+04,2.7844E+04,1E+00
5.3768E+04,8.6389E+04,4.4E+03,2.525E+03,1E+00
4.19619E+05,2.33894E+05,1.7439E+04,1.9427E+04,1E+00
3.32291E+05,2.60803E+05,8.255E+03,2.5619E+04,1E+00
1.006728E+06,1.18754E+05,1.7342E+04,5.2473E+04,1E+00
1.82502E+05,4.7184E+04,3.2319E+04,4.711E+03,1E+00
2.34379E+05,2.8764E+04,2.541E+03,2.584E+03,1E+00
6.86919E+05,1.48507E+05,1.71717E+05,4.083E+04,1E+00
1.81755E+05,1.26222E+05,8.714E+03,1.8501E+04,1E+00
3.36285E+05,5.8502E+04,4.89E+03,1.0139E+04,1E+00
2.07308E+05,7.172E+04,3.7763E+04,5.469E+03,1E+00
7.92612E+05,1.82694E+05,9.3489E+04,3.9596E+04,1E+00
2.06184E+05,3.1698E+04,3.1027E+04,3.841E+03,1E+00
2.3867E+04,2.844E+04,1.0206E+04,1.127E+04,1E+00
2.03408E+05,4.8631E+04,7.544E+03,5.79E+03,1E+00
1.611648E+06,1.55056E+05,1.0669E+04,2.4817E+04,1E+00
3.61052E+05,3.4875E+04,5.44E+03,4.024E+03,1E+00
3.53275E+05,2.1588E+04,5.273E+03,4.94E+03,1E+00
2.12476E+05,3.6779E+04,7.913E+03,4.77E+03,1E+00
9.3936E+05,1.53217E+05,3.7222E+04,2.6417E+04,1E+00
2.98819E+05,1.002E+05,1.2483E+04,2.1905E+04,1E+00
4.2004E+04,9.3913E+04,8.877E+03,3.4567E+04,1E+00
1.75914E+05,3.6481E+04,3.055E+03,9.7E+02,1E+00
6.23491E+05,2.40989E+05,1.8119E+04,2.3493E+04,1E+00
7.6276E+04,4.7613E+04,1.6152E+04,5.611E+03,1E+00
1.51025E+05,5.5027E+04,3.787E+03,9.604E+03,1E+00
2.89547E+05,4.596E+04,2.9161E+04,5.096E+03,1E+00
9.09843E+05,2.1778E+05,5.4499E+04,3.1048E+04,1E+00
4.54804E+05,6.1085E+04,1.7384E+04,9.139E+03,1E+00
2.66063E+05,1.7065E+04,1.5771E+04,3.681E+03,1E+00
3.52276E+05,1.58028E+05,4.4883E+04,1.0018E+04,1E+00
1.5108E+04,1.0577E+04,1.7028E+04,1.1681E+04,1E+00
1.4816E+05,2.2818E+04,1.893E+03,2.134E+03,1E+00
6.81607E+05,2.1022E+04,2.1745E+04,2.282E+03,1E+00
1.27023E+05,1.34828E+05,6.2702E+04,1.3695E+04,1E+00
1.229857E+06,4.7832E+04,6.2785E+04,1.00752E+05,1E+00
4.97264E+05,1.2295E+04,6.712E+03,6.207E+03,1E+00
1.60544E+05,8.2858E+04,1.3124E+04,1.1203E+04,1E+00
2.2422E+04,4.2978E+04,1.6729E+04,9.721E+03,1E+00
3.7936E+04,1.1652E+04,2.444E+03,1.703E+03,1E+00
6.4225E+04,2.2291E+04,2.404E+03,1.5095E+04,1E+00
